model,step,domain,key,partition,eval_key,measure,value
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,act_firing_rate_median,0.5001017252604166
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,act_frac_dead,2.712673611111111e-05
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,act_frac_dense,0.5002983940972222
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,act_firing_rate_gini,0.2543580019793026
EleutherAI/pythia-160m,0,wikitext,halfB,-,halfB,act_firing_rate_median,0.5000457763671875
EleutherAI/pythia-160m,0,wikitext,halfB,-,halfB,act_frac_dead,2.712673611111111e-05
EleutherAI/pythia-160m,0,wikitext,halfB,-,halfB,act_frac_dense,0.5002170138888888
EleutherAI/pythia-160m,0,wikitext,halfB,-,halfB,act_firing_rate_gini,0.25455683450306954
EleutherAI/pythia-160m,0,wikitext,-,-,-,lm_loss,11.056316556056379
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_participation_ratio,135.86474291740686
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_top1_share,0.03964723972486835
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_top10_share,0.21358458473962008
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_top100_share,0.5583937536303881
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_n_for_50pct,73.0
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_n_for_90pct,1452.0
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,dim_participation_ratio_frac,0.003685567027924448
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,n_live_units,36864.0
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,coupling_mean_absr,0.06671105716047077
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,coupling_median_absr,0.054661765694618225
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,coupling_p90_absr,0.13882635533809662
EleutherAI/pythia-160m,0,wikitext,halfA,-,halfA,coupling_p99_absr,0.23755311876535415
