domain,key,step,measure,value
agnews,halfA,1,similarity_to_previous,1.0
agnews,halfA,4,similarity_to_previous,0.997901687250736
agnews,halfA,16,similarity_to_previous,0.7048027603020767
agnews,halfA,64,similarity_to_previous,0.11186296396299414
agnews,halfA,256,similarity_to_previous,0.4459042639082622
agnews,halfA,1000,similarity_to_previous,0.15968625765029665
agnews,halfA,4000,similarity_to_previous,0.2210938077058724
agnews,halfA,16000,similarity_to_previous,0.48283720265420854
agnews,halfA,64000,similarity_to_previous,0.5978325267415154
agnews,halfA,143000,similarity_to_previous,0.7862120655727897
agnews,halfA,0,similarity_to_final,0.01563204446698441
agnews,halfA,1,similarity_to_final,0.01563204446698441
agnews,halfA,4,similarity_to_final,0.015562523638033867
agnews,halfA,16,similarity_to_final,0.01790151906255345
agnews,halfA,64,similarity_to_final,0.07909320557004383
agnews,halfA,256,similarity_to_final,0.08825467924791056
agnews,halfA,1000,similarity_to_final,0.09906495615871734
agnews,halfA,4000,similarity_to_final,0.2585222529029166
agnews,halfA,16000,similarity_to_final,0.4862676753126692
agnews,halfA,64000,similarity_to_final,0.7862120655727897
agnews,halfA,143000,similarity_to_final,1.0
agnews,-,0,similarity_between_halves,0.9962917200217939
agnews,-,1,similarity_between_halves,0.9962917200217939
agnews,-,4,similarity_between_halves,0.9962899058311456
agnews,-,16,similarity_between_halves,0.9964130442714194
agnews,-,64,similarity_between_halves,0.9992182938325159
agnews,-,256,similarity_between_halves,0.9984494741534724
agnews,-,1000,similarity_between_halves,0.9933006498846886
agnews,-,4000,similarity_between_halves,0.9862839552592375
agnews,-,16000,similarity_between_halves,0.9885814598176651
agnews,-,64000,similarity_between_halves,0.989502285373362
agnews,-,143000,similarity_between_halves,0.9921314641918368
agnews,halfB,1,similarity_to_previous,1.0
agnews,halfB,4,similarity_to_previous,0.997911138853164
agnews,halfB,16,similarity_to_previous,0.7064125710782255
agnews,halfB,64,similarity_to_previous,0.11164042781915669
agnews,halfB,256,similarity_to_previous,0.44603806124959905
agnews,halfB,1000,similarity_to_previous,0.15996564078211695
agnews,halfB,4000,similarity_to_previous,0.22204809838818773
agnews,halfB,16000,similarity_to_previous,0.48454472210010113
agnews,halfB,64000,similarity_to_previous,0.5990422883565841
agnews,halfB,143000,similarity_to_previous,0.7872016782242667
agnews,halfB,0,similarity_to_final,0.01573331160717225
agnews,halfB,1,similarity_to_final,0.01573331160717225
agnews,halfB,4,similarity_to_final,0.015678001522192984
agnews,halfB,16,similarity_to_final,0.018104482108289733
agnews,halfB,64,similarity_to_final,0.07910562701310861
agnews,halfB,256,similarity_to_final,0.08815325595588865
agnews,halfB,1000,similarity_to_final,0.0991375292231805
agnews,halfB,4000,similarity_to_final,0.2589301964242893
agnews,halfB,16000,similarity_to_final,0.4871136526726591
agnews,halfB,64000,similarity_to_final,0.7872016782242667
agnews,halfB,143000,similarity_to_final,1.0
bookcorpus,halfA,1,similarity_to_previous,1.0
bookcorpus,halfA,4,similarity_to_previous,0.9980650575879328
bookcorpus,halfA,16,similarity_to_previous,0.7434312878203886
bookcorpus,halfA,64,similarity_to_previous,0.16140714093131822
bookcorpus,halfA,256,similarity_to_previous,0.37715921385891243
