model,domain,key,tree,network,step,best_jaccard,birth_step
pythia-70m,wikitext,halfA,real,0,0,0.013333333333333334,64000
pythia-70m,wikitext,halfA,real,0,1,0.013333333333333334,64000
pythia-70m,wikitext,halfA,real,0,4,0.015810276679841896,64000
pythia-70m,wikitext,halfA,real,0,16,0.026200873362445413,64000
pythia-70m,wikitext,halfA,real,0,64,0.02,64000
pythia-70m,wikitext,halfA,real,0,256,0.02564102564102564,64000
pythia-70m,wikitext,halfA,real,0,1000,0.0211864406779661,64000
pythia-70m,wikitext,halfA,real,0,4000,0.2727272727272727,64000
pythia-70m,wikitext,halfA,real,0,16000,0.43870967741935485,64000
pythia-70m,wikitext,halfA,real,0,64000,0.5263157894736842,64000
pythia-70m,wikitext,halfA,real,0,143000,1.0,64000
pythia-70m,wikitext,halfA,real,1,0,0.017857142857142856,143000
pythia-70m,wikitext,halfA,real,1,1,0.017857142857142856,143000
pythia-70m,wikitext,halfA,real,1,4,0.01764705882352941,143000
pythia-70m,wikitext,halfA,real,1,16,0.0297029702970297,143000
pythia-70m,wikitext,halfA,real,1,64,0.016216216216216217,143000
pythia-70m,wikitext,halfA,real,1,256,0.02185792349726776,143000
pythia-70m,wikitext,halfA,real,1,1000,0.03333333333333333,143000
pythia-70m,wikitext,halfA,real,1,4000,0.07792207792207792,143000
pythia-70m,wikitext,halfA,real,1,16000,0.14782608695652175,143000
pythia-70m,wikitext,halfA,real,1,64000,0.3673469387755102,143000
pythia-70m,wikitext,halfA,real,1,143000,1.0,143000
pythia-70m,wikitext,halfA,real,2,0,0.018072289156626505,143000
pythia-70m,wikitext,halfA,real,2,1,0.018072289156626505,143000
pythia-70m,wikitext,halfA,real,2,4,0.0196078431372549,143000
pythia-70m,wikitext,halfA,real,2,16,0.022222222222222223,143000
pythia-70m,wikitext,halfA,real,2,64,0.02857142857142857,143000
pythia-70m,wikitext,halfA,real,2,256,0.016260162601626018,143000
pythia-70m,wikitext,halfA,real,2,1000,0.027472527472527472,143000
pythia-70m,wikitext,halfA,real,2,4000,0.04516129032258064,143000
pythia-70m,wikitext,halfA,real,2,16000,0.08280254777070063,143000
