model,step,domain,key,tree,measure,value
pythia-70m,0,wikitext,halfA,real,crisp_median_max_membership,0.64
pythia-70m,0,wikitext,halfA,real,crisp_frac_confident,0.7027180989583334
pythia-70m,0,wikitext,halfA,real,crisp_network_median,0.6012632696390658
pythia-70m,0,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,0,wikitext,halfA,real,size_effective_n,89.22322217117681
pythia-70m,0,wikitext,halfA,real,size_gini,0.2385579427083333
pythia-70m,0,wikitext,halfA,real,size_largest_share,0.044921875
pythia-70m,0,wikitext,halfA,real,size_frac_small,0.01
pythia-70m,0,wikitext,halfA,real,depth_median_effective_layers,5.8671383411305795
pythia-70m,0,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,0,wikitext,halfA,real,depth_mean_layer_span,5.7
pythia-70m,1,wikitext,halfA,real,crisp_median_max_membership,0.64
pythia-70m,1,wikitext,halfA,real,crisp_frac_confident,0.7027180989583334
pythia-70m,1,wikitext,halfA,real,crisp_network_median,0.6012632696390658
pythia-70m,1,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,1,wikitext,halfA,real,size_effective_n,89.22322217117681
pythia-70m,1,wikitext,halfA,real,size_gini,0.2385579427083333
pythia-70m,1,wikitext,halfA,real,size_largest_share,0.044921875
pythia-70m,1,wikitext,halfA,real,size_frac_small,0.01
pythia-70m,1,wikitext,halfA,real,depth_median_effective_layers,5.8671383411305795
pythia-70m,1,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,1,wikitext,halfA,real,depth_mean_layer_span,5.7
pythia-70m,4,wikitext,halfA,real,crisp_median_max_membership,0.64
pythia-70m,4,wikitext,halfA,real,crisp_frac_confident,0.697509765625
pythia-70m,4,wikitext,halfA,real,crisp_network_median,0.6131692103232445
pythia-70m,4,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,4,wikitext,halfA,real,size_effective_n,89.34493929778407
pythia-70m,4,wikitext,halfA,real,size_gini,0.23340983072916677
pythia-70m,4,wikitext,halfA,real,size_largest_share,0.044270833333333336
pythia-70m,4,wikitext,halfA,real,size_frac_small,0.02
pythia-70m,4,wikitext,halfA,real,depth_median_effective_layers,5.868800787686091
pythia-70m,4,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,4,wikitext,halfA,real,depth_mean_layer_span,5.71
pythia-70m,16,wikitext,halfA,real,crisp_median_max_membership,0.6174999999999999
pythia-70m,16,wikitext,halfA,real,crisp_frac_confident,0.6569010416666666
pythia-70m,16,wikitext,halfA,real,crisp_network_median,0.5964835296534721
pythia-70m,16,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,16,wikitext,halfA,real,size_effective_n,89.52874777603712
pythia-70m,16,wikitext,halfA,real,size_gini,0.2322102864583333
pythia-70m,16,wikitext,halfA,real,size_largest_share,0.049072265625
pythia-70m,16,wikitext,halfA,real,size_frac_small,0.01
pythia-70m,16,wikitext,halfA,real,depth_median_effective_layers,5.874385262722902
pythia-70m,16,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,16,wikitext,halfA,real,depth_mean_layer_span,5.74
pythia-70m,64,wikitext,halfA,real,crisp_median_max_membership,0.56
pythia-70m,64,wikitext,halfA,real,crisp_frac_confident,0.6092936197916666
pythia-70m,64,wikitext,halfA,real,crisp_network_median,0.5464935897435896
pythia-70m,64,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,64,wikitext,halfA,real,size_effective_n,90.37755942826996
pythia-70m,64,wikitext,halfA,real,size_gini,0.24800292968749993
pythia-70m,64,wikitext,halfA,real,size_largest_share,0.027994791666666668
pythia-70m,64,wikitext,halfA,real,size_frac_small,0.0
pythia-70m,64,wikitext,halfA,real,depth_median_effective_layers,5.0488359791210975
pythia-70m,64,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,64,wikitext,halfA,real,depth_mean_layer_span,4.31
pythia-70m,256,wikitext,halfA,real,crisp_median_max_membership,0.57
pythia-70m,256,wikitext,halfA,real,crisp_frac_confident,0.6131998697916666
pythia-70m,256,wikitext,halfA,real,crisp_network_median,0.546640749601276
pythia-70m,256,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,256,wikitext,halfA,real,size_effective_n,93.27825359006187
pythia-70m,256,wikitext,halfA,real,size_gini,0.1962467447916667
pythia-70m,256,wikitext,halfA,real,size_largest_share,0.027180989583333332
pythia-70m,256,wikitext,halfA,real,size_frac_small,0.0
pythia-70m,256,wikitext,halfA,real,depth_median_effective_layers,4.747832515752199
pythia-70m,256,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,256,wikitext,halfA,real,depth_mean_layer_span,4.14
pythia-70m,1000,wikitext,halfA,real,crisp_median_max_membership,0.625
pythia-70m,1000,wikitext,halfA,real,crisp_frac_confident,0.693359375
pythia-70m,1000,wikitext,halfA,real,crisp_network_median,0.5922002012072434
pythia-70m,1000,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,1000,wikitext,halfA,real,size_effective_n,90.50455446643319
pythia-70m,1000,wikitext,halfA,real,size_gini,0.22207519531249997
pythia-70m,1000,wikitext,halfA,real,size_largest_share,0.039876302083333336
pythia-70m,1000,wikitext,halfA,real,size_frac_small,0.01
pythia-70m,1000,wikitext,halfA,real,depth_median_effective_layers,4.51918781213786
pythia-70m,1000,wikitext,halfA,real,depth_frac_single_layer,0.0
pythia-70m,1000,wikitext,halfA,real,depth_mean_layer_span,3.79
pythia-70m,4000,wikitext,halfA,real,crisp_median_max_membership,0.695
pythia-70m,4000,wikitext,halfA,real,crisp_frac_confident,0.786376953125
pythia-70m,4000,wikitext,halfA,real,crisp_network_median,0.6726602782268356
pythia-70m,4000,wikitext,halfA,real,size_n_networks,100.0
pythia-70m,4000,wikitext,halfA,real,size_effective_n,90.22061709742466
pythia-70m,4000,wikitext,halfA,real,size_gini,0.24226562499999993
