step,domain,key,tree,measure,value
0,agnews,halfA,real,selectivity_coherence_median,0.3445379304734776
0,agnews,halfA,real,selectivity_frac_coherent,0.15
0,agnews,halfA,real,selectivity_prefers_whitespace,0.06
0,agnews,halfA,real,selectivity_prefers_punctuation,0.34
0,agnews,halfA,real,selectivity_prefers_digit,0.03
0,agnews,halfA,real,selectivity_prefers_function_word,0.31
0,agnews,halfA,real,selectivity_prefers_content_word,0.14
0,agnews,halfA,real,selectivity_prefers_continuation,0.11
0,agnews,halfA,real,selectivity_prefers_other,0.01
0,agnews,halfA,null,selectivity_coherence_median,0.1757721830522102
0,agnews,halfA,null,selectivity_frac_coherent,0.0
0,agnews,halfA,null,selectivity_prefers_whitespace,0.0
0,agnews,halfA,null,selectivity_prefers_punctuation,0.1
0,agnews,halfA,null,selectivity_prefers_digit,0.2
0,agnews,halfA,null,selectivity_prefers_function_word,0.23
0,agnews,halfA,null,selectivity_prefers_content_word,0.21
0,agnews,halfA,null,selectivity_prefers_continuation,0.26
0,agnews,halfA,null,selectivity_prefers_other,0.0
0,agnews,halfB,real,selectivity_coherence_median,0.34633974705508586
0,agnews,halfB,real,selectivity_frac_coherent,0.18
0,agnews,halfB,real,selectivity_prefers_whitespace,0.06
0,agnews,halfB,real,selectivity_prefers_punctuation,0.38
0,agnews,halfB,real,selectivity_prefers_digit,0.03
0,agnews,halfB,real,selectivity_prefers_function_word,0.3
0,agnews,halfB,real,selectivity_prefers_content_word,0.05
0,agnews,halfB,real,selectivity_prefers_continuation,0.15
0,agnews,halfB,real,selectivity_prefers_other,0.03
0,agnews,halfB,null,selectivity_coherence_median,0.17452180149023222
0,agnews,halfB,null,selectivity_frac_coherent,0.0
0,agnews,halfB,null,selectivity_prefers_whitespace,0.02
0,agnews,halfB,null,selectivity_prefers_punctuation,0.08
0,agnews,halfB,null,selectivity_prefers_digit,0.19
0,agnews,halfB,null,selectivity_prefers_function_word,0.26
0,agnews,halfB,null,selectivity_prefers_content_word,0.23
0,agnews,halfB,null,selectivity_prefers_continuation,0.22
0,agnews,halfB,null,selectivity_prefers_other,0.0
0,bookcorpus,halfA,real,selectivity_coherence_median,0.3859187983248322
0,bookcorpus,halfA,real,selectivity_frac_coherent,0.13
0,bookcorpus,halfA,real,selectivity_prefers_whitespace,0.02
0,bookcorpus,halfA,real,selectivity_prefers_punctuation,0.34
0,bookcorpus,halfA,real,selectivity_prefers_digit,0.22
0,bookcorpus,halfA,real,selectivity_prefers_function_word,0.28
0,bookcorpus,halfA,real,selectivity_prefers_content_word,0.04
0,bookcorpus,halfA,real,selectivity_prefers_continuation,0.09
0,bookcorpus,halfA,real,selectivity_prefers_other,0.01
0,bookcorpus,halfA,null,selectivity_coherence_median,0.1777523322838918
0,bookcorpus,halfA,null,selectivity_frac_coherent,0.0
0,bookcorpus,halfA,null,selectivity_prefers_whitespace,0.0
0,bookcorpus,halfA,null,selectivity_prefers_punctuation,0.05
0,bookcorpus,halfA,null,selectivity_prefers_digit,0.35
0,bookcorpus,halfA,null,selectivity_prefers_function_word,0.22
0,bookcorpus,halfA,null,selectivity_prefers_content_word,0.17
0,bookcorpus,halfA,null,selectivity_prefers_continuation,0.21
0,bookcorpus,halfA,null,selectivity_prefers_other,0.0
0,bookcorpus,halfB,real,selectivity_coherence_median,0.364833749734618
0,bookcorpus,halfB,real,selectivity_frac_coherent,0.12
0,bookcorpus,halfB,real,selectivity_prefers_whitespace,0.0
0,bookcorpus,halfB,real,selectivity_prefers_punctuation,0.3
0,bookcorpus,halfB,real,selectivity_prefers_digit,0.16
0,bookcorpus,halfB,real,selectivity_prefers_function_word,0.31
0,bookcorpus,halfB,real,selectivity_prefers_content_word,0.08
