model,domain,task,bos,n_total,n_aligned,clean_accuracy,corrupted_accuracy,both_correct_accuracy,n_both_correct,clean_baseline,corrupted_baseline,passes,base,is_bos,m
LiquidAI/LFM2.5-1.2B-Instruct,Lan,anaphor_gender_agreement_bos,1,1100,674,0.9881305637982196,0.9970326409495548,0.9851632047477744,664,2.936271358550672,-2.8424967519310584,1,anaphor_gender_agreement,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,det_noun_agreement_irregular_bos,1,932,932,0.8927038626609443,0.898068669527897,0.7939914163090128,740,2.789846674171654,-3.0352643812024915,1,det_noun_agreement_irregular,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,det_noun_agreement_regular_bos,1,1100,1100,0.9009090909090908,0.9054545454545454,0.8081818181818182,889,3.555064243728586,-3.5354292124543334,1,det_noun_agreement_regular,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,det_noun_agreement_with_adjective_bos,1,1100,1100,0.8690909090909091,0.7609090909090909,0.6372727272727273,701,3.423710293504549,-3.291948855178332,1,det_noun_agreement_with_adjective,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,subject_verb_agreement_bos,1,1100,1025,0.9141463414634148,0.848780487804878,0.7678048780487805,787,3.742353878299951,-3.371912610273349,1,subject_verb_agreement,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,npi_bos,1,304,304,0.9671052631578948,0.9605263157894736,0.9276315789473684,282,3.334857552186817,-3.415463177447623,1,npi,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,hypernymy_bos,1,577,389,0.974293059125964,0.948586118251928,0.922879177377892,359,6.734106105018127,-7.28025282259439,1,hypernymy,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,Lan,wug_bos,1,2664,2406,0.8179551122194514,0.8179551122194514,0.6774729842061513,1630,3.4240039310260943,-3.4240039310260943,1,wug,True,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,MD,logic_syllogism_1,0,1000,1000,0.742,0.746,0.52,520,2.392015168286777,-2.4458435559409666,0,logic_syllogism_1,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,MD,logic_syllogism_symbolic,0,1000,1000,0.63,0.601,0.275,275,3.480586568777111,-3.266118198363957,0,logic_syllogism_symbolic,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,MD,logic_propositional_1,0,1000,1000,0.584,0.628,0.27,270,1.077704766040875,-1.064617195656454,0,logic_propositional_1,False,lfm1.2
LiquidAI/LFM2.5-1.2B-Instruct,MD,logic_propositional_symbolic,0,1000,1000,0.523,0.544,0.067,67,1.6125052040581829,-1.680908017638904,0,logic_propositional_symbolic,False,lfm1.2
