domain,base,gpt2,lfm350m,q3-0.6,q35-0.8,lfm1.2,q3-1.7,q35-2,gran3,q3-4,q35-4,gem4
Lan,anaphor_gender_agreement,0.8220424671385238,0.9629080118694362,0.9599271402550092,0.996316758747698,0.9851632047477744,0.98816029143898,0.994475138121547,0.8734061930783242,0.9899817850637522,0.992633517495396,0.9249692496924968
Lan,det_noun_agreement_irregular,0.8605150214592274,0.8562231759656652,0.8315450643776824,0.8336909871244635,0.7939914163090128,0.8336909871244635,0.8261802575107297,0.8068669527896996,0.7875536480686696,0.8261802575107297,0.7124463519313304
Lan,det_noun_agreement_regular,0.8845454545454545,0.850909090909091,0.8318181818181818,0.8754545454545455,0.8081818181818182,0.8190909090909091,0.8745454545454545,0.8909090909090909,0.8036363636363636,0.8490909090909091,0.7463636363636363
Lan,det_noun_agreement_with_adjective,0.72,0.6527272727272727,0.66,0.6727272727272727,0.6372727272727273,0.6818181818181818,0.7109090909090909,0.6836363636363636,0.68,0.6918181818181818,0.6709090909090909
Lan,hypernymy,0.7597402597402597,0.9048843187660668,0.9027777777777778,0.85431654676259,0.922879177377892,0.8975694444444444,0.8884892086330936,0.8898601398601399,0.9305555555555556,0.9172661870503596,0.8290816326530612
Lan,npi,0.8881578947368421,0.8092105263157895,0.9210526315789472,0.868421052631579,0.9276315789473684,0.9276315789473684,0.9605263157894736,0.9078947368421052,0.9736842105263158,0.9671052631578948,0.868421052631579
Lan,subject_verb_agreement,0.8901408450704226,0.8439024390243902,0.8318181818181818,0.8146118721461187,0.7678048780487805,0.8245454545454546,0.8264840182648402,0.8936363636363637,0.8309090909090909,0.8273972602739726,0.9025069637883008
Lan,wug,0.389267461669506,0.2926018287614297,0.4789473684210526,0.7083981337480559,0.6774729842061513,0.5849624060150376,0.7418351477449455,0.7090225563909774,0.8233082706766918,0.8919129082426127,0.8913951545530493
MD,add_sub_2op_symbolic,0.0420070011668611,0.13,0.781,0.88,0.35,0.882,0.966,0.996,0.88,0.997,0.995
MD,add_sub_2op_verbal,0.0821501014198783,0.1423220973782771,0.1845841784989858,0.2697768762677485,0.348314606741573,0.5081135902636917,0.6724137931034483,0.7657200811359026,0.72920892494929,0.8762677484787018,0.7931034482758621
MD,add_sub_3op_symbolic,0.0287929125138427,0.091,0.447,0.541,0.172,0.7,0.824,0.449,0.856,0.969,0.965
MD,add_sub_3op_verbal,0.0624360286591606,0.0719602977667493,0.0788126919140225,0.0767656090071648,0.1166253101736972,0.2149437052200614,0.2538382804503582,0.3766632548618219,0.3817809621289662,0.6223132036847492,0.5813715455475946
MD,code_A,0.003,0.168,0.161,0.39,0.461,0.502,0.639,0.883,0.845,0.904,0.908
MD,code_B,0.001,0.345,0.066,0.368,0.605,0.695,0.695,0.583,0.782,0.879,0.875
MD,code_conditional,0.001,0.007,0.556,0.704,0.521,0.764,0.883,0.993,0.998,0.998,0.997
MD,code_list,0.001,0.38,0.027,0.526,0.75,0.963,0.953,0.986,1.0,0.989,1.0
MD,code_loop,0.002,0.111,0.255,0.336,0.213,0.608,0.489,0.896,0.756,0.83,0.868
MD,logic_propositional_1,0.0,0.413,0.128,0.277,0.27,0.009,0.078,0.076,0.952,0.054,0.029
MD,logic_propositional_symbolic,0.0,0.045,0.176,0.0,0.067,0.204,0.181,0.788,0.801,0.734,0.184
MD,logic_syllogism_1,0.204,0.0,0.474,0.008,0.52,0.613,0.785,0.599,0.805,0.923,0.837
MD,logic_syllogism_symbolic,0.019,0.046,0.349,0.053,0.275,0.472,0.251,0.071,0.509,0.942,0.686
MD,mul_div_2op_symbolic,0.0732217573221757,0.3718079673135853,0.5301327885597549,0.5127681307456589,0.4535240040858018,0.6956077630234934,0.8212461695607763,0.9703779366700716,0.8253319713993871,0.9734422880490295,0.9959141981613892
MD,mul_div_2op_verbal,0.0630952380952381,0.1549925484351713,0.15,0.1309523809523809,0.2891207153502235,0.2654761904761905,0.3178571428571428,0.3773809523809524,0.4797619047619048,0.7654761904761904,0.8202380952380952
MD,mul_div_3op_symbolic,0.0473313192346425,0.184,0.195,0.213,0.252,0.309,0.352,0.338,0.412,0.912,0.87
MD,mul_div_3op_verbal,0.0403225806451612,0.065710872162485,0.0836693548387096,0.0413306451612903,0.0908004778972521,0.1229838709677419,0.0625,0.1008064516129032,0.1622983870967742,0.2459677419354838,0.3901209677419355
MD,number_sequence,0.0134831460674157,0.007399577167019,0.0092307692307692,0.0307692307692307,0.0327695560253699,0.08,0.0215384615384615,,0.1538461538461538,0.4184615384615384,0.5846153846153846
MD,number_sorting,0.014,0.05,0.724,0.565,0.474,0.398,0.841,0.995,0.823,0.999,0.997
MD,simple_equation,0.0371584699453551,0.0130653266331658,0.020971302428256,0.1379690949227373,0.0512562814070351,0.0883002207505518,0.2284768211920529,0.0261306532663316,0.1633554083885209,0.4525386313465783,0.6291390728476821
ToM,agent,0.1005291005291005,0.1096774193548387,0.273015873015873,0.2486772486772486,0.3279569892473118,0.3661375661375661,0.4476190476190476,0.5291005291005291,0.5470899470899471,0.6529100529100529,0.7047619047619048
ToM,desires_goals,0.215625,0.8375,0.6074074074074074,0.6305555555555555,0.76875,0.6046296296296296,0.6018518518518519,0.6166666666666667,0.7564814814814815,0.687962962962963,0.6666666666666666
ToM,emotion_fewshot,0.1315372424722662,0.1384509938313913,0.0035158211953792,0.522567703109328,0.0274160383824537,0.8643897538925164,0.8385155466399198,0.9497739829231542,0.6835760924158715,0.9744232698094284,0.9934512115258676
ToM,norm_appropriate,0.0,0.0033585222502099,0.0045,0.0125,0.0554156171284634,0.0,0.815,0.006,0.0,0.9505,0.9992360580595876
ToM,norm_moral,0.0,0.0044614404079031,0.0,0.0625,0.0,0.0,0.0895,0.322,0.003,0.9015,0.8487833140208575
ToM,primary_emotions,0.0339768339768339,0.7923913043478261,0.728957528957529,0.6131274131274131,0.7380434782608696,0.8555984555984556,0.7521235521235521,0.806949806949807,0.8046332046332046,0.772972972972973,0.7891891891891892
ToM,secondary_emotions,0.2098360655737705,0.5678260869565217,0.625,0.621875,0.5382608695652173,0.543125,0.77625,0.669375,0.525,0.599375,0.6170491803278688
ToM,social_interactions,0.1256281407035175,0.4885057471264368,0.3676470588235294,0.4558823529411764,0.4310344827586206,0.6127450980392157,0.6666666666666666,0.6617647058823529,0.7254901960784313,0.7598039215686274,0.7939698492462312
ToM,social_relations,0.0555555555555555,0.0565371024734982,0.3020833333333333,0.2708333333333333,0.2579505300353357,0.3506944444444444,0.3645833333333333,0.4722222222222222,0.4930555555555556,0.5729166666666666,0.6631944444444444
phys,phys_newton,0.155,0.732,0.553,0.68,0.797,0.62,0.739,0.79,0.72,0.759,0.695
phys,phys_prost,0.1391666666666666,0.5791666666666667,0.5166666666666667,0.49,0.5691666666666667,0.705,0.89,0.8483333333333334,0.8466666666666667,0.85,0.7566666666666667
phys,physics_brightness,0.0496644295302013,0.0538573508005822,0.0912162162162162,0.0317634173055859,0.0262008733624454,0.1373873873873874,0.6407447973713034,0.3333333333333333,0.5844594594594594,0.6670317634173056,0.8008298755186722
phys,physics_buoyancy,0.0,0.0429530201342281,0.004,0.185,0.0201342281879194,0.055,0.382,0.1,0.095,0.639,0.6232558139534884
phys,physics_elasticity,0.0,0.0072815533980582,0.0675324675324675,0.1170731707317073,0.0218446601941747,0.5831168831168831,0.2207317073170731,0.7792207792207793,0.6363636363636364,0.9621951219512196,0.9504273504273504
phys,physics_solubility,0.0,0.167870036101083,0.092901878914405,0.3454356846473029,0.1173285198555956,0.2766179540709812,0.8049792531120332,0.3423799582463465,0.3141962421711899,0.8890041493775933,0.7746967071057193
phys,physics_speed,0.1302083333333333,0.054989816700611,0.0495169082125603,0.2211874272409778,0.0407331975560081,0.3152173913043478,0.5285215366705471,0.2463768115942029,0.3900966183574879,0.7846332945285215,0.7821782178217822
phys,physics_stability,0.0,0.0917293233082706,0.035,0.3475177304964539,0.0135338345864661,0.22,0.3799392097264438,0.023,0.227,0.7264437689969605,0.7425614489003881
phys,physics_temperature,0.0317965023847376,0.0815217391304347,0.0253485424588086,0.1768219832735962,0.0054347826086956,0.5804816223067174,0.6750298685782556,0.4043092522179974,0.3269961977186312,0.985663082437276,0.9772256728778468
