step,rel_within,ceiling,coassoc,rel_within_dp,rel_across,rel_across_dp,fid_r_within,fid_r_within_dp,fid_R2_dp,fid_across,fid_across_dp,ceil_within_R2,ceil_across_r,hub,layer,nets
0,0.776,0.82,0.972,0.776,0.116,0.116,0.454,0.423,0.207,0.226,0.209,0.994,0.539,0.1,0.002,100.0
1,0.776,0.82,0.972,0.776,0.116,0.116,0.454,0.423,0.207,0.226,0.209,0.994,0.539,0.1,0.002,100.0
4,0.773,0.808,0.972,0.773,0.117,0.117,0.454,0.424,0.208,0.226,0.21,0.994,0.539,0.101,0.002,100.0
16,0.774,0.812,0.972,0.774,0.114,0.114,0.449,0.416,0.203,0.228,0.208,0.994,0.544,0.095,0.002,100.0
64,0.705,0.732,0.979,0.705,0.162,0.161,0.7,0.614,0.481,0.523,0.442,0.998,0.734,0.144,0.05,100.0
256,0.733,0.748,0.976,0.724,0.132,0.125,0.549,0.316,0.242,0.394,0.167,0.996,0.679,0.099,0.079,100.0
1000,0.734,0.765,0.96,0.729,0.09,0.086,0.422,0.336,0.174,0.187,0.118,0.99,0.518,0.07,0.105,100.0
4000,0.725,0.806,0.943,0.718,0.075,0.069,0.44,0.331,0.184,0.182,0.095,0.984,0.46,0.064,0.142,100.0
16000,0.76,0.841,0.954,0.745,0.131,0.117,0.503,0.38,0.239,0.297,0.196,0.985,0.516,0.09,0.167,100.0
64000,0.762,0.843,0.956,0.746,0.155,0.14,0.488,0.354,0.221,0.287,0.182,0.984,0.52,0.08,0.176,100.0
143000,0.795,0.839,0.97,0.777,0.215,0.197,0.535,0.388,0.265,0.355,0.234,0.989,0.569,0.091,0.181,100.0
