size,step,relW,ceil,relA,rW_dp,rA_dp,ceil_across,hub,layer
70m,0,0.776,0.82,0.116,0.423,0.209,0.539,0.1,0.002
70m,1,0.776,0.82,0.116,0.423,0.209,0.539,0.1,0.002
70m,4,0.773,0.808,0.117,0.424,0.21,0.539,0.101,0.002
70m,16,0.774,0.812,0.114,0.416,0.208,0.544,0.095,0.002
70m,64,0.705,0.732,0.162,0.614,0.442,0.734,0.144,0.05
70m,256,0.733,0.748,0.132,0.316,0.167,0.679,0.099,0.079
70m,1000,0.734,0.765,0.09,0.336,0.118,0.518,0.07,0.105
70m,4000,0.725,0.806,0.075,0.331,0.095,0.46,0.064,0.142
70m,16000,0.76,0.841,0.131,0.38,0.196,0.516,0.09,0.167
70m,64000,0.762,0.843,0.155,0.354,0.182,0.52,0.08,0.176
70m,143000,0.795,0.839,0.215,0.388,0.234,0.569,0.091,0.181
160m,0,0.784,0.854,0.108,0.394,0.174,0.53,0.09,0.002
160m,1,0.787,0.846,0.108,0.394,0.174,0.53,0.09,0.002
160m,4,0.784,0.862,0.108,0.393,0.173,0.529,0.09,0.002
160m,16,0.778,0.836,0.101,0.35,0.128,0.528,0.078,0.004
160m,64,0.762,0.808,0.134,0.452,0.299,0.748,0.109,0.035
160m,256,0.73,0.756,0.108,0.287,0.12,0.66,0.093,0.068
160m,1000,0.747,0.849,0.059,0.297,0.051,0.433,0.066,0.124
160m,4000,0.717,0.882,0.057,0.287,0.072,0.381,0.061,0.125
160m,16000,0.747,0.886,0.155,0.338,0.183,0.462,0.081,0.152
160m,64000,0.762,0.891,0.214,0.322,0.173,0.481,0.079,0.168
160m,143000,0.777,0.865,0.21,0.292,0.146,0.512,0.08,0.172
