domain,arm,metric,value
wikitext,-,n_chain_pairs,9216.0
wikitext,-,mean_abs_r_chain_adjacent,0.867475152015686
wikitext,-,median_abs_r_chain_adjacent,0.9169498682022095
wikitext,-,mean_abs_r_same_dim_nonadjacent,0.5421482920646667
wikitext,-,mean_abs_r_random_pairs,0.041326433420181274
wikitext,-,p90_abs_r_random_pairs,0.08600079268217087
wikitext,-,p99_abs_r_random_pairs,0.15235398709774017
wikitext,-,frac_chain_partner_is_top1,0.4975043402777778
wikitext,-,frac_chain_partner_in_top10,0.9724392361111112
wikitext,-,median_rank_of_chain_partner,1.0
wikitext,-,median_share_of_strength_in_chain,0.004272406793669585
wikitext,legacy,ami_dimension,0.1426347872238904
wikitext,legacy,ami_layer,0.013166500611813228
wikitext,legacy,chain_cocluster_rate,0.8412543402777778
wikitext,legacy,chain_cocluster_expected,0.5019466041499734
wikitext,legacy,chain_cocluster_lift,1.6759837267998028
wikitext,legacy,frac_dimensions_single_cluster,0.33203125
wikitext,legacy(null),ami_dimension,0.018943774882724775
wikitext,legacy(null),chain_cocluster_lift,1.3534259230845014
wikitext,current,ami_dimension,0.32462065551419733
wikitext,current,ami_layer,0.030679026152422895
wikitext,current,chain_cocluster_rate,0.6804470486111112
wikitext,current,chain_cocluster_expected,0.04253269574267546
wikitext,current,chain_cocluster_lift,15.99821118153064
wikitext,current,frac_dimensions_single_cluster,0.0078125
wikitext,current(null),ami_dimension,0.016790728980046167
wikitext,current(null),chain_cocluster_lift,2.057470790188987
wikitext,fisher_pca,ami_dimension,0.15578313047448614
wikitext,fisher_pca,ami_layer,0.008055027489420668
wikitext,fisher_pca,chain_cocluster_rate,0.8799913194444444
wikitext,fisher_pca,chain_cocluster_expected,0.5335146009255834
wikitext,fisher_pca,chain_cocluster_lift,1.6494231234117411
wikitext,fisher_pca,frac_dimensions_single_cluster,0.41015625
wikitext,fisher_pca(null),ami_dimension,0.02892536710107208
wikitext,fisher_pca(null),chain_cocluster_lift,2.805477403374305
wikitext,nopca_fisher,ami_dimension,0.1770829531563727
wikitext,nopca_fisher,ami_layer,0.04052563136341183
wikitext,nopca_fisher,chain_cocluster_rate,0.7498914930555556
wikitext,nopca_fisher,chain_cocluster_expected,0.2648205478123972
wikitext,nopca_fisher,chain_cocluster_lift,2.8316967820291263
wikitext,nopca_fisher,frac_dimensions_single_cluster,0.09114583333333333
wikitext,nopca_fisher(null),ami_dimension,0.05865876101375563
wikitext,nopca_fisher(null),chain_cocluster_lift,1.8757555155795946
wikitext,vmf_profile,ami_dimension,0.3020330024124412
wikitext,vmf_profile,ami_layer,0.06763491677798956
wikitext,vmf_profile,chain_cocluster_rate,0.7182074652777778
wikitext,vmf_profile,chain_cocluster_expected,0.06044522999619904
wikitext,vmf_profile,chain_cocluster_lift,11.88195437957537
wikitext,vmf_profile,frac_dimensions_single_cluster,0.00390625
wikitext,vmf_profile(null),ami_dimension,0.030897028297651914
wikitext,vmf_profile(null),chain_cocluster_lift,2.320147485790746
wikitext,vmf_z,ami_dimension,0.3241671347445907
wikitext,vmf_z,ami_layer,0.022876217258878503
wikitext,vmf_z,chain_cocluster_rate,0.7072482638888888
wikitext,vmf_z,chain_cocluster_expected,0.05037858249481222
wikitext,vmf_z,chain_cocluster_lift,14.038669388161495
wikitext,vmf_z,frac_dimensions_single_cluster,0.0026041666666666665
wikitext,vmf_z(null),ami_dimension,0.024307669403715235
wikitext,vmf_z(null),chain_cocluster_lift,1.5115238908076896
bookcorpus,-,n_chain_pairs,9216.0
bookcorpus,-,mean_abs_r_chain_adjacent,0.8668390512466431
bookcorpus,-,median_abs_r_chain_adjacent,0.9191696047782898
bookcorpus,-,mean_abs_r_same_dim_nonadjacent,0.5441208481788635
bookcorpus,-,mean_abs_r_random_pairs,0.05071786791086197
bookcorpus,-,p90_abs_r_random_pairs,0.10603926330804825
bookcorpus,-,p99_abs_r_random_pairs,0.19120655953884125
bookcorpus,-,frac_chain_partner_is_top1,0.5385199652777778
bookcorpus,-,frac_chain_partner_in_top10,0.9624565972222222
bookcorpus,-,median_rank_of_chain_partner,0.0
bookcorpus,-,median_share_of_strength_in_chain,0.003507647993220454
bookcorpus,legacy,ami_dimension,0.19023041955626122
bookcorpus,legacy,ami_layer,0.01626845316898177
bookcorpus,legacy,chain_cocluster_rate,0.8001302083333334
bookcorpus,legacy,chain_cocluster_expected,0.36559298162316123
bookcorpus,legacy,chain_cocluster_lift,2.188581971078635
bookcorpus,legacy,frac_dimensions_single_cluster,0.17317708333333334
bookcorpus,legacy(null),ami_dimension,0.02415596574746705
bookcorpus,legacy(null),chain_cocluster_lift,1.6023221595166564
bookcorpus,current,ami_dimension,0.29518526669416273
bookcorpus,current,ami_layer,0.027845651622682675
bookcorpus,current,chain_cocluster_rate,0.6393229166666666
bookcorpus,current,chain_cocluster_expected,0.04570857041137616
bookcorpus,current,chain_cocluster_lift,13.98693748049379
bookcorpus,current,frac_dimensions_single_cluster,0.005208333333333333
bookcorpus,current(null),ami_dimension,0.014608686235044153
bookcorpus,current(null),chain_cocluster_lift,1.900558078074701
bookcorpus,fisher_pca,ami_dimension,0.37715205617279124
bookcorpus,fisher_pca,ami_layer,0.009393425145770722
bookcorpus,fisher_pca,chain_cocluster_rate,0.7315538194444444
bookcorpus,fisher_pca,chain_cocluster_expected,0.037022898496568875
bookcorpus,fisher_pca,chain_cocluster_lift,19.759496126761704
bookcorpus,fisher_pca,frac_dimensions_single_cluster,0.014322916666666666
bookcorpus,fisher_pca(null),ami_dimension,0.027729890769651495
bookcorpus,fisher_pca(null),chain_cocluster_lift,2.375979923223586
bookcorpus,nopca_fisher,ami_dimension,0.17128853626827345
bookcorpus,nopca_fisher,ami_layer,0.02445929437822795
bookcorpus,nopca_fisher,chain_cocluster_rate,0.5890842013888888
bookcorpus,nopca_fisher,chain_cocluster_expected,0.1611687875279935
bookcorpus,nopca_fisher,chain_cocluster_lift,3.655076211866212
bookcorpus,nopca_fisher,frac_dimensions_single_cluster,0.009114583333333334
bookcorpus,nopca_fisher(null),ami_dimension,0.05173873587200616
bookcorpus,nopca_fisher(null),chain_cocluster_lift,1.9024095657858833
bookcorpus,vmf_profile,ami_dimension,0.26490588480898786
bookcorpus,vmf_profile,ami_layer,0.034708821149326476
bookcorpus,vmf_profile,chain_cocluster_rate,0.6184895833333334
bookcorpus,vmf_profile,chain_cocluster_expected,0.05834064069819402
bookcorpus,vmf_profile,chain_cocluster_lift,10.601350549660301
bookcorpus,vmf_profile,frac_dimensions_single_cluster,0.0
bookcorpus,vmf_profile(null),ami_dimension,0.02427779215065835
bookcorpus,vmf_profile(null),chain_cocluster_lift,2.272340027791986
bookcorpus,vmf_z,ami_dimension,0.26584310915109105
bookcorpus,vmf_z,ami_layer,0.02780278072389748
bookcorpus,vmf_z,chain_cocluster_rate,0.5967881944444444
bookcorpus,vmf_z,chain_cocluster_expected,0.04705178526026257
bookcorpus,vmf_z,chain_cocluster_lift,12.683646138894966
bookcorpus,vmf_z,frac_dimensions_single_cluster,0.0
bookcorpus,vmf_z(null),ami_dimension,0.02428563280969449
bookcorpus,vmf_z(null),chain_cocluster_lift,1.7115896446151246
agnews,-,n_chain_pairs,9216.0
agnews,-,mean_abs_r_chain_adjacent,0.8659520745277405
agnews,-,median_abs_r_chain_adjacent,0.9154971837997437
agnews,-,mean_abs_r_same_dim_nonadjacent,0.5459420084953308
agnews,-,mean_abs_r_random_pairs,0.03848719596862793
agnews,-,p90_abs_r_random_pairs,0.07967235893011093
agnews,-,p99_abs_r_random_pairs,0.139029398560524
agnews,-,frac_chain_partner_is_top1,0.4672309027777778
agnews,-,frac_chain_partner_in_top10,0.98046875
agnews,-,median_rank_of_chain_partner,1.0
agnews,-,median_share_of_strength_in_chain,0.0045926415373883905
agnews,legacy,ami_dimension,0.1648640774122077
agnews,legacy,ami_layer,0.017561188047484536
agnews,legacy,chain_cocluster_rate,0.8486328125
agnews,legacy,chain_cocluster_expected,0.47644450271074745
agnews,legacy,chain_cocluster_lift,1.7811787263189611
agnews,legacy,frac_dimensions_single_cluster,0.3359375
agnews,legacy(null),ami_dimension,0.024724539219434846
agnews,legacy(null),chain_cocluster_lift,1.5090930583737625
agnews,current,ami_dimension,0.35997252589939027
agnews,current,ami_layer,0.02913174365371082
agnews,current,chain_cocluster_rate,0.7090928819444444
agnews,current,chain_cocluster_expected,0.030260636569793723
agnews,current,chain_cocluster_lift,23.432847498398743
agnews,current,frac_dimensions_single_cluster,0.0078125
agnews,current(null),ami_dimension,0.019499135039850284
agnews,current(null),chain_cocluster_lift,2.1684692554268143
agnews,fisher_pca,ami_dimension,0.1918886141716091
agnews,fisher_pca,ami_layer,0.0108245710632007
agnews,fisher_pca,chain_cocluster_rate,0.8872612847222222
agnews,fisher_pca,chain_cocluster_expected,0.48481167624609645
agnews,fisher_pca,chain_cocluster_lift,1.8301153379644208
agnews,fisher_pca,frac_dimensions_single_cluster,0.4309895833333333
agnews,fisher_pca(null),ami_dimension,0.030415499402951972
agnews,fisher_pca(null),chain_cocluster_lift,2.7026821983123535
agnews,nopca_fisher,ami_dimension,0.1924621094432783
agnews,nopca_fisher,ami_layer,0.029892164324378554
agnews,nopca_fisher,chain_cocluster_rate,0.8083767361111112
agnews,nopca_fisher,chain_cocluster_expected,0.3159739477394601
agnews,nopca_fisher,chain_cocluster_lift,2.5583651497042643
