tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9801254890166184
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.990048060108855
real,vmf_ward150,reliability_within,wikitext,wikitext,0.5025227953094145
real,vmf_ward150,fidelity_within,wikitext,wikitext,0.1826976839749287
real,vmf_ward150,fidelity_within_r,wikitext,wikitext,0.4274356840044477
real,vmf_ward150,fidelity_within_insample,wikitext,wikitext,0.18170066715938915
real,vmf_ward150,reliability_ceiling,wikitext,wikitext,1.0
real,vmf_ward150,triviality_ami_layer,wikitext,wikitext,0.03242454594416415
real,vmf_ward150,triviality_ami_dimension,wikitext,wikitext,0.656873387976836
real,vmf_ward150,triviality_ami_hubness,wikitext,wikitext,0.07984548847500758
real,vmf_ward150,triviality_ami_noise_scale,wikitext,wikitext,0.06505879539351815
real,vmf_ward150,triviality_n_effective_networks,wikitext,wikitext,150.0
real,vmf_ward150,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_ward150,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_ward200,reliability_within,wikitext,wikitext,0.5623003287801446
real,vmf_ward200,fidelity_within,wikitext,wikitext,0.21130030280133905
real,vmf_ward200,fidelity_within_r,wikitext,wikitext,0.4596770232880093
real,vmf_ward200,fidelity_within_insample,wikitext,wikitext,0.21051856284445503
real,vmf_ward200,reliability_ceiling,wikitext,wikitext,1.0
real,vmf_ward200,triviality_ami_layer,wikitext,wikitext,0.024512032402776985
real,vmf_ward200,triviality_ami_dimension,wikitext,wikitext,0.6870086685377289
real,vmf_ward200,triviality_ami_hubness,wikitext,wikitext,0.08630387514442779
real,vmf_ward200,triviality_ami_noise_scale,wikitext,wikitext,0.06836579874766534
real,vmf_ward200,triviality_n_effective_networks,wikitext,wikitext,200.0
real,vmf_ward200,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_ward200,triviality_frac_confident,wikitext,wikitext,1.0
real,(ceiling),fidelity_within,bookcorpus,bookcorpus,0.9932568094407094
real,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.9966256066606636
real,vmf_ward150,reliability_within,bookcorpus,bookcorpus,0.4148230274315256
real,vmf_ward150,fidelity_within,bookcorpus,bookcorpus,0.1924015262286224
real,vmf_ward150,fidelity_within_r,bookcorpus,bookcorpus,0.4386398321540849
real,vmf_ward150,fidelity_within_insample,bookcorpus,bookcorpus,0.1926039105310008
real,vmf_ward150,reliability_ceiling,bookcorpus,bookcorpus,1.0
real,vmf_ward150,triviality_ami_layer,bookcorpus,bookcorpus,0.024154624877257665
real,vmf_ward150,triviality_ami_dimension,bookcorpus,bookcorpus,0.6353669591448591
real,vmf_ward150,triviality_ami_hubness,bookcorpus,bookcorpus,0.08619148473666711
real,vmf_ward150,triviality_ami_noise_scale,bookcorpus,bookcorpus,0.05595849465159203
real,vmf_ward150,triviality_n_effective_networks,bookcorpus,bookcorpus,150.0
real,vmf_ward150,triviality_median_max_membership,bookcorpus,bookcorpus,1.0
real,vmf_ward150,triviality_frac_confident,bookcorpus,bookcorpus,1.0
real,vmf_ward200,reliability_within,bookcorpus,bookcorpus,0.46039298846865423
real,vmf_ward200,fidelity_within,bookcorpus,bookcorpus,0.21676247517480596
real,vmf_ward200,fidelity_within_r,bookcorpus,bookcorpus,0.4655810791108182
real,vmf_ward200,fidelity_within_insample,bookcorpus,bookcorpus,0.21712859940058105
real,vmf_ward200,reliability_ceiling,bookcorpus,bookcorpus,1.0
real,vmf_ward200,triviality_ami_layer,bookcorpus,bookcorpus,0.014998567936199041
real,vmf_ward200,triviality_ami_dimension,bookcorpus,bookcorpus,0.6634815353688848
real,vmf_ward200,triviality_ami_hubness,bookcorpus,bookcorpus,0.08982121820827711
real,vmf_ward200,triviality_ami_noise_scale,bookcorpus,bookcorpus,0.06061362944346993
real,vmf_ward200,triviality_n_effective_networks,bookcorpus,bookcorpus,200.0
real,vmf_ward200,triviality_median_max_membership,bookcorpus,bookcorpus,1.0
real,vmf_ward200,triviality_frac_confident,bookcorpus,bookcorpus,1.0
real,(ceiling),fidelity_within,agnews,agnews,0.9846233382613736
real,(ceiling),fidelity_within_r,agnews,agnews,0.9923313927390373
real,vmf_ward150,reliability_within,agnews,agnews,0.6768997750542853
real,vmf_ward150,fidelity_within,agnews,agnews,0.1786142019477409
real,vmf_ward150,fidelity_within_r,agnews,agnews,0.42264164622964145
real,vmf_ward150,fidelity_within_insample,agnews,agnews,0.17830438120248993
real,vmf_ward150,reliability_ceiling,agnews,agnews,1.0
real,vmf_ward150,triviality_ami_layer,agnews,agnews,0.04045776320795467
real,vmf_ward150,triviality_ami_dimension,agnews,agnews,0.6549952140934464
real,vmf_ward150,triviality_ami_hubness,agnews,agnews,0.08018884557708265
real,vmf_ward150,triviality_ami_noise_scale,agnews,agnews,0.07392750398593395
real,vmf_ward150,triviality_n_effective_networks,agnews,agnews,150.0
real,vmf_ward150,triviality_median_max_membership,agnews,agnews,1.0
real,vmf_ward150,triviality_frac_confident,agnews,agnews,1.0
real,vmf_ward200,reliability_within,agnews,agnews,0.7472158081748481
real,vmf_ward200,fidelity_within,agnews,agnews,0.21052580199173732
real,vmf_ward200,fidelity_within_r,agnews,agnews,0.4588439865050888
real,vmf_ward200,fidelity_within_insample,agnews,agnews,0.21038333624238248
real,vmf_ward200,reliability_ceiling,agnews,agnews,1.0
real,vmf_ward200,triviality_ami_layer,agnews,agnews,0.030798254971128262
real,vmf_ward200,triviality_ami_dimension,agnews,agnews,0.6835795245386633
real,vmf_ward200,triviality_ami_hubness,agnews,agnews,0.08794940258202669
real,vmf_ward200,triviality_ami_noise_scale,agnews,agnews,0.08036070430091034
real,vmf_ward200,triviality_n_effective_networks,agnews,agnews,200.0
real,vmf_ward200,triviality_median_max_membership,agnews,agnews,1.0
real,vmf_ward200,triviality_frac_confident,agnews,agnews,1.0
real,(ceiling),fidelity_within,tldr17,tldr17,0.977654968251753
real,(ceiling),fidelity_within_r,tldr17,tldr17,0.9889055326739661
real,vmf_ward150,reliability_within,tldr17,tldr17,0.5190691208844681
real,vmf_ward150,fidelity_within,tldr17,tldr17,0.19058588996638193
real,vmf_ward150,fidelity_within_r,tldr17,tldr17,0.4366201192172018
real,vmf_ward150,fidelity_within_insample,tldr17,tldr17,0.19243757510686155
real,vmf_ward150,reliability_ceiling,tldr17,tldr17,1.0
real,vmf_ward150,triviality_ami_layer,tldr17,tldr17,0.03354630047467708
