tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9801254890166184
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.990048060108855
real,current,reliability_within,wikitext,wikitext,0.07245530768308794
real,current,fidelity_within,wikitext,wikitext,0.07805297588163795
real,current,fidelity_within_r,wikitext,wikitext,0.2793815324675637
real,current,fidelity_within_insample,wikitext,wikitext,0.07776323125094542
real,current,reliability_ceiling,wikitext,wikitext,0.06527383413331665
real,current,triviality_ami_layer,wikitext,wikitext,0.030679026152422895
real,current,triviality_ami_hubness,wikitext,wikitext,0.03287085535611033
real,current,triviality_ami_noise_scale,wikitext,wikitext,0.058474834476953334
real,current,triviality_n_effective_networks,wikitext,wikitext,49.0
real,current,triviality_median_max_membership,wikitext,wikitext,0.2
real,current,triviality_frac_confident,wikitext,wikitext,0.031350160256410256
real,fisher_pca,reliability_within,wikitext,wikitext,0.19377669234919642
real,fisher_pca,fidelity_within,wikitext,wikitext,0.06172028692017861
real,fisher_pca,fidelity_within_r,wikitext,wikitext,0.24844393066815773
real,fisher_pca,fidelity_within_insample,wikitext,wikitext,0.06093378812132888
real,fisher_pca,reliability_ceiling,wikitext,wikitext,0.10190975198061637
real,fisher_pca,triviality_ami_layer,wikitext,wikitext,0.008055027489420668
real,fisher_pca,triviality_ami_hubness,wikitext,wikitext,0.09689582421992687
real,fisher_pca,triviality_ami_noise_scale,wikitext,wikitext,0.028582420032877663
real,fisher_pca,triviality_n_effective_networks,wikitext,wikitext,50.0
real,fisher_pca,triviality_median_max_membership,wikitext,wikitext,0.25
real,fisher_pca,triviality_frac_confident,wikitext,wikitext,0.05939503205128205
real,legacy,reliability_within,wikitext,wikitext,0.46223886451837876
real,legacy,fidelity_within,wikitext,wikitext,0.057049976845192085
real,legacy,fidelity_within_r,wikitext,wikitext,0.23885162758070894
real,legacy,fidelity_within_insample,wikitext,wikitext,0.057226049962575076
real,legacy,reliability_ceiling,wikitext,wikitext,0.3729456593732789
real,legacy,triviality_ami_layer,wikitext,wikitext,0.013166500611813228
real,legacy,triviality_ami_hubness,wikitext,wikitext,0.07937225126547605
real,legacy,triviality_ami_noise_scale,wikitext,wikitext,0.05775288281349392
real,legacy,triviality_n_effective_networks,wikitext,wikitext,49.0
real,legacy,triviality_median_max_membership,wikitext,wikitext,0.35
real,legacy,triviality_frac_confident,wikitext,wikitext,0.288661858974359
real,nopca_fisher,reliability_within,wikitext,wikitext,0.7515360750705852
real,nopca_fisher,fidelity_within,wikitext,wikitext,0.1399178097613848
real,nopca_fisher,fidelity_within_r,wikitext,wikitext,0.37408110516756127
real,nopca_fisher,fidelity_within_insample,wikitext,wikitext,0.13715851197754148
real,nopca_fisher,reliability_ceiling,wikitext,wikitext,0.4566478105603826
real,nopca_fisher,triviality_ami_layer,wikitext,wikitext,0.04052563136341183
real,nopca_fisher,triviality_ami_hubness,wikitext,wikitext,0.2920899706019372
real,nopca_fisher,triviality_ami_noise_scale,wikitext,wikitext,0.037075384574801244
real,nopca_fisher,triviality_n_effective_networks,wikitext,wikitext,25.0
real,nopca_fisher,triviality_median_max_membership,wikitext,wikitext,0.55
real,nopca_fisher,triviality_frac_confident,wikitext,wikitext,0.546875
real,vmf_profile,reliability_within,wikitext,wikitext,0.4819690584131037
real,vmf_profile,fidelity_within,wikitext,wikitext,0.11210441594974185
real,vmf_profile,fidelity_within_r,wikitext,wikitext,0.3348355531394793
real,vmf_profile,fidelity_within_insample,wikitext,wikitext,0.11033050286929202
real,vmf_profile,reliability_ceiling,wikitext,wikitext,0.36441502224611816
real,vmf_profile,triviality_ami_layer,wikitext,wikitext,0.06763491677798956
real,vmf_profile,triviality_ami_hubness,wikitext,wikitext,0.10004501492174543
real,vmf_profile,triviality_ami_noise_scale,wikitext,wikitext,0.05911829301392704
real,vmf_profile,triviality_n_effective_networks,wikitext,wikitext,50.0
real,vmf_profile,triviality_median_max_membership,wikitext,wikitext,0.4
real,vmf_profile,triviality_frac_confident,wikitext,wikitext,0.24389022435897437
real,(ceiling:surrogate),fidelity_within,wikitext,wikitext,0.9395656421640699
real,(ceiling:surrogate),fidelity_within_r,wikitext,wikitext,0.9697350364193219
real,vmf_z,reliability_within,wikitext,wikitext,0.4745441448945415
real,vmf_z,fidelity_within,wikitext,wikitext,0.10908902271103849
real,vmf_z,fidelity_within_r,wikitext,wikitext,0.3303029419612694
real,vmf_z,fidelity_within_insample,wikitext,wikitext,0.10727578142551764
real,vmf_z,reliability_ceiling,wikitext,wikitext,0.36344235874677655
real,vmf_z,triviality_ami_layer,wikitext,wikitext,0.022876217258878503
real,vmf_z,triviality_ami_hubness,wikitext,wikitext,0.0769625072725918
real,vmf_z,triviality_ami_noise_scale,wikitext,wikitext,0.04386219084127546
real,vmf_z,triviality_n_effective_networks,wikitext,wikitext,50.0
real,vmf_z,triviality_median_max_membership,wikitext,wikitext,0.4
real,vmf_z,triviality_frac_confident,wikitext,wikitext,0.26872996794871795
real,(ceiling),fidelity_within,bookcorpus,bookcorpus,0.9932568094407094
real,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.9966256066606636
real,current,reliability_within,bookcorpus,bookcorpus,0.11678314371607111
real,current,fidelity_within,bookcorpus,bookcorpus,0.07572568367928012
real,current,fidelity_within_r,bookcorpus,bookcorpus,0.2751889785116154
real,current,fidelity_within_insample,bookcorpus,bookcorpus,0.07574614552033176
real,current,reliability_ceiling,bookcorpus,bookcorpus,0.09348275478510303
real,current,triviality_ami_layer,bookcorpus,bookcorpus,0.027845651622682675
real,current,triviality_ami_hubness,bookcorpus,bookcorpus,0.03578365232107378
real,current,triviality_ami_noise_scale,bookcorpus,bookcorpus,0.035656394682218644
real,current,triviality_n_effective_networks,bookcorpus,bookcorpus,50.0
real,current,triviality_median_max_membership,bookcorpus,bookcorpus,0.2
real,current,triviality_frac_confident,bookcorpus,bookcorpus,0.03715945512820513
real,fisher_pca,reliability_within,bookcorpus,bookcorpus,0.02173933044745755
real,fisher_pca,fidelity_within,bookcorpus,bookcorpus,0.056539970808379025
real,fisher_pca,fidelity_within_r,bookcorpus,bookcorpus,0.2377879264541063
real,fisher_pca,fidelity_within_insample,bookcorpus,bookcorpus,0.056649786531895896
real,fisher_pca,reliability_ceiling,bookcorpus,bookcorpus,0.02491637582229684
real,fisher_pca,triviality_ami_layer,bookcorpus,bookcorpus,0.009393425145770722
