tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9747874897582266
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9873717009599972
real,vmf_pca100_lloyd100,reliability_within,wikitext,wikitext,0.6021268615104063
real,vmf_pca100_lloyd100,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100,fidelity_within,wikitext,wikitext,0.21680547756762092
real,vmf_pca100_lloyd100,fidelity_within_r,wikitext,wikitext,0.46562510874966273
real,vmf_pca100_lloyd100,fidelity_within_insample,wikitext,wikitext,0.21658782589449832
real,vmf_pca100_lloyd100,reliability_ceiling,wikitext,wikitext,0.6621551216846191
real,vmf_pca100_lloyd100,triviality_ami_layer,wikitext,wikitext,0.1417464367449989
real,vmf_pca100_lloyd100,triviality_ami_dimension,wikitext,wikitext,-0.0015126283242027666
real,vmf_pca100_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.07886596148053698
real,vmf_pca100_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100,triviality_entropy_effective_networks,wikitext,wikitext,90.67090059738585
real,vmf_pca100_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.625
real,vmf_pca100_lloyd100,triviality_frac_confident,wikitext,wikitext,0.667167467948718
real,vmf_pca100_lloyd100_bm_degree,reliability_within,wikitext,wikitext,0.3894705392912987
real,vmf_pca100_lloyd100_bm_degree,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100_bm_degree,fidelity_within,wikitext,wikitext,0.31478090572154616
real,vmf_pca100_lloyd100_bm_degree,fidelity_within_r,wikitext,wikitext,0.5610584356352576
real,vmf_pca100_lloyd100_bm_degree,fidelity_within_insample,wikitext,wikitext,0.3133094380107898
real,vmf_pca100_lloyd100_bm_degree,reliability_ceiling,wikitext,wikitext,0.5368006278000772
real,vmf_pca100_lloyd100_bm_degree,triviality_ami_layer,wikitext,wikitext,0.14748831004858434
real,vmf_pca100_lloyd100_bm_degree,triviality_ami_dimension,wikitext,wikitext,-5.043390904261424e-05
real,vmf_pca100_lloyd100_bm_degree,triviality_ami_hubness,wikitext,wikitext,0.1406359530797887
real,vmf_pca100_lloyd100_bm_degree,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100_bm_degree,triviality_entropy_effective_networks,wikitext,wikitext,72.8558502170829
real,vmf_pca100_lloyd100_bm_degree,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_bm_degree,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_coassoc,reliability_within,wikitext,wikitext,0.6094394732148206
real,vmf_pca100_lloyd100_coassoc,reliability_within_coassoc,wikitext,wikitext,0.9105308483221011
real,vmf_pca100_lloyd100_coassoc,fidelity_within,wikitext,wikitext,0.20911528612969277
real,vmf_pca100_lloyd100_coassoc,fidelity_within_r,wikitext,wikitext,0.45729211795412555
real,vmf_pca100_lloyd100_coassoc,fidelity_within_insample,wikitext,wikitext,0.20910254395661476
real,vmf_pca100_lloyd100_coassoc,reliability_ceiling,wikitext,wikitext,0.6732584574973061
real,vmf_pca100_lloyd100_coassoc,triviality_ami_layer,wikitext,wikitext,0.13965569211916262
real,vmf_pca100_lloyd100_coassoc,triviality_ami_dimension,wikitext,wikitext,-0.0010016140743289688
real,vmf_pca100_lloyd100_coassoc,triviality_ami_hubness,wikitext,wikitext,0.07767116526812892
real,vmf_pca100_lloyd100_coassoc,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_pca100_lloyd100_coassoc,triviality_entropy_effective_networks,wikitext,wikitext,81.31243880462551
real,vmf_pca100_lloyd100_coassoc,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_pca100_lloyd100_coassoc,triviality_frac_confident,wikitext,wikitext,1.0
real,(ceiling),fidelity_within,bookcorpus,bookcorpus,0.9888274536436901
real,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.9944086938872909
real,vmf_pca100_lloyd100,reliability_within,bookcorpus,bookcorpus,0.6257630234152263
real,vmf_pca100_lloyd100,reliability_within_coassoc,bookcorpus,bookcorpus,0.9415710835882157
real,vmf_pca100_lloyd100,fidelity_within,bookcorpus,bookcorpus,0.23299607406481604
real,vmf_pca100_lloyd100,fidelity_within_r,bookcorpus,bookcorpus,0.4826981777960555
real,vmf_pca100_lloyd100,fidelity_within_insample,bookcorpus,bookcorpus,0.23303139211375745
real,vmf_pca100_lloyd100,reliability_ceiling,bookcorpus,bookcorpus,0.6149799832875421
real,vmf_pca100_lloyd100,triviality_ami_layer,bookcorpus,bookcorpus,0.123715924481548
real,vmf_pca100_lloyd100,triviality_ami_dimension,bookcorpus,bookcorpus,-0.0012144643175137997
real,vmf_pca100_lloyd100,triviality_ami_hubness,bookcorpus,bookcorpus,0.0775460815336046
real,vmf_pca100_lloyd100,triviality_n_effective_networks,bookcorpus,bookcorpus,100.0
