tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9747874897582266
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9873717009599972
real,vmf_sparse_pca100_lloyd100_n200,reliability_within,wikitext,wikitext,0.6996275736491575
real,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,wikitext,wikitext,0.930205435825531
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within,wikitext,wikitext,0.21247572776156276
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,wikitext,wikitext,0.46095212375524025
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,wikitext,wikitext,0.21230812086260797
real,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,wikitext,wikitext,0.8094613023165902
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,wikitext,wikitext,0.13684988927759298
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,wikitext,wikitext,-0.0002910979812894958
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,wikitext,wikitext,0.07714134728055118
real,vmf_sparse_pca100_lloyd100_n200,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_sparse_pca100_lloyd100_n200,triviality_entropy_effective_networks,wikitext,wikitext,92.58678672248632
real,vmf_sparse_pca100_lloyd100_n200,triviality_median_max_membership,wikitext,wikitext,0.67
real,vmf_sparse_pca100_lloyd100_n200,triviality_frac_confident,wikitext,wikitext,0.7196514423076923
real,(ceiling),fidelity_within,bookcorpus,bookcorpus,0.9888274536436901
real,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.9944086938872909
real,vmf_sparse_pca100_lloyd100_n200,reliability_within,bookcorpus,bookcorpus,0.7436799994315038
real,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,bookcorpus,bookcorpus,0.9676128733408621
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within,bookcorpus,bookcorpus,0.22661666769202338
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,bookcorpus,bookcorpus,0.47604434946560403
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,bookcorpus,bookcorpus,0.2265594505925298
real,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,bookcorpus,bookcorpus,0.7754402674133298
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,bookcorpus,bookcorpus,0.12125724498084704
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,bookcorpus,bookcorpus,-0.0011487406801630332
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,bookcorpus,bookcorpus,0.07851345327211515
real,vmf_sparse_pca100_lloyd100_n200,triviality_n_effective_networks,bookcorpus,bookcorpus,100.0
real,vmf_sparse_pca100_lloyd100_n200,triviality_entropy_effective_networks,bookcorpus,bookcorpus,89.21556791946294
real,vmf_sparse_pca100_lloyd100_n200,triviality_median_max_membership,bookcorpus,bookcorpus,0.61
real,vmf_sparse_pca100_lloyd100_n200,triviality_frac_confident,bookcorpus,bookcorpus,0.6569511217948718
real,(ceiling),fidelity_within,agnews,agnews,0.9784710625110252
real,(ceiling),fidelity_within_r,agnews,agnews,0.9892610602960447
real,vmf_sparse_pca100_lloyd100_n200,reliability_within,agnews,agnews,0.7055152680120071
real,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,agnews,agnews,0.9374260914464905
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within,agnews,agnews,0.20756919041275979
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,agnews,agnews,0.45561036338519456
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_insample,agnews,agnews,0.20914705012444945
real,vmf_sparse_pca100_lloyd100_n200,reliability_ceiling,agnews,agnews,0.8031172937245225
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_layer,agnews,agnews,0.13882276808859073
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_dimension,agnews,agnews,0.00011263119654319108
real,vmf_sparse_pca100_lloyd100_n200,triviality_ami_hubness,agnews,agnews,0.08167738252204228
real,vmf_sparse_pca100_lloyd100_n200,triviality_n_effective_networks,agnews,agnews,100.0
real,vmf_sparse_pca100_lloyd100_n200,triviality_entropy_effective_networks,agnews,agnews,89.84720614721267
real,vmf_sparse_pca100_lloyd100_n200,triviality_median_max_membership,agnews,agnews,0.69
real,vmf_sparse_pca100_lloyd100_n200,triviality_frac_confident,agnews,agnews,0.7530048076923077
real,(ceiling),fidelity_within,tldr17,tldr17,0.9689455331062399
real,(ceiling),fidelity_within_r,tldr17,tldr17,0.9844730379099201
real,vmf_sparse_pca100_lloyd100_n200,reliability_within,tldr17,tldr17,0.6786776028910918
real,vmf_sparse_pca100_lloyd100_n200,reliability_within_coassoc,tldr17,tldr17,0.9199121569698016
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within,tldr17,tldr17,0.19784255550732643
real,vmf_sparse_pca100_lloyd100_n200,fidelity_within_r,tldr17,tldr17,0.4448061573877266
