tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9801254890166184
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9900480601088553
real,binarize_global_lloyd,reliability_within,wikitext,wikitext,0.7633506184645624
real,binarize_global_lloyd,fidelity_within,wikitext,wikitext,0.16653873288472731
real,binarize_global_lloyd,fidelity_within_r,wikitext,wikitext,0.4081131371001316
real,binarize_global_lloyd,fidelity_within_insample,wikitext,wikitext,0.16368894812989665
real,binarize_global_lloyd,reliability_ceiling,wikitext,wikitext,0.7731333402700223
real,binarize_global_lloyd,triviality_ami_layer,wikitext,wikitext,0.07621106623082931
real,binarize_global_lloyd,triviality_ami_dimension,wikitext,wikitext,0.24159414047327268
real,binarize_global_lloyd,triviality_ami_hubness,wikitext,wikitext,0.2768191853816667
real,binarize_global_lloyd,triviality_ami_noise_scale,wikitext,wikitext,0.06059227739439971
real,binarize_global_lloyd,triviality_n_effective_networks,wikitext,wikitext,50.0
real,binarize_global_lloyd,triviality_median_max_membership,wikitext,wikitext,0.625
real,binarize_global_lloyd,triviality_frac_confident,wikitext,wikitext,0.6590544871794872
real,binarize_global_lloyd100,reliability_within,wikitext,wikitext,0.7537456852708838
real,binarize_global_lloyd100,fidelity_within,wikitext,wikitext,0.199543921293304
real,binarize_global_lloyd100,fidelity_within_r,wikitext,wikitext,0.4467174460584915
real,binarize_global_lloyd100,fidelity_within_insample,wikitext,wikitext,0.19705359240813147
real,binarize_global_lloyd100,reliability_ceiling,wikitext,wikitext,0.7610603287263348
real,binarize_global_lloyd100,triviality_ami_layer,wikitext,wikitext,0.07442247691701082
real,binarize_global_lloyd100,triviality_ami_dimension,wikitext,wikitext,0.27670355990130685
real,binarize_global_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.26291712089842373
real,binarize_global_lloyd100,triviality_ami_noise_scale,wikitext,wikitext,0.06441860613225064
real,binarize_global_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,binarize_global_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.55
real,binarize_global_lloyd100,triviality_frac_confident,wikitext,wikitext,0.5636017628205128
real,binarize_row_lloyd,reliability_within,wikitext,wikitext,0.6479735975600057
real,binarize_row_lloyd,fidelity_within,wikitext,wikitext,0.13223884391307938
real,binarize_row_lloyd,fidelity_within_r,wikitext,wikitext,0.3636568957744805
real,binarize_row_lloyd,fidelity_within_insample,wikitext,wikitext,0.13070018808973805
real,binarize_row_lloyd,reliability_ceiling,wikitext,wikitext,0.6737513234119646
real,binarize_row_lloyd,triviality_ami_layer,wikitext,wikitext,0.08622877634358592
real,binarize_row_lloyd,triviality_ami_dimension,wikitext,wikitext,0.29830829105985224
real,binarize_row_lloyd,triviality_ami_hubness,wikitext,wikitext,0.10173800554755306
real,binarize_row_lloyd,triviality_ami_noise_scale,wikitext,wikitext,0.059178070644488455
real,binarize_row_lloyd,triviality_n_effective_networks,wikitext,wikitext,50.0
real,binarize_row_lloyd,triviality_median_max_membership,wikitext,wikitext,0.55
real,binarize_row_lloyd,triviality_frac_confident,wikitext,wikitext,0.5552884615384616
real,binarize_row_lloyd100,reliability_within,wikitext,wikitext,0.564242307837196
real,binarize_row_lloyd100,fidelity_within,wikitext,wikitext,0.16246954590792484
real,binarize_row_lloyd100,fidelity_within_r,wikitext,wikitext,0.4030828429814136
real,binarize_row_lloyd100,fidelity_within_insample,wikitext,wikitext,0.16100801671268394
real,binarize_row_lloyd100,reliability_ceiling,wikitext,wikitext,0.5527280776034
real,binarize_row_lloyd100,triviality_ami_layer,wikitext,wikitext,0.07362087723688382
real,binarize_row_lloyd100,triviality_ami_dimension,wikitext,wikitext,0.35652054458912524
real,binarize_row_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.10618828097163574
real,binarize_row_lloyd100,triviality_ami_noise_scale,wikitext,wikitext,0.06279752718906519
real,binarize_row_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,binarize_row_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.45
real,binarize_row_lloyd100,triviality_frac_confident,wikitext,wikitext,0.41426282051282054
real,ica,reliability_within,wikitext,wikitext,0.2199732256294676
real,ica,reliability_within_maps,wikitext,wikitext,0.6128501206665955
real,ica,fidelity_within,wikitext,wikitext,0.03667833501285844
real,ica,fidelity_within_r,wikitext,wikitext,0.19151662199210787
real,ica,fidelity_within_insample,wikitext,wikitext,0.03664428027402944
real,ica,reliability_ceiling,wikitext,wikitext,0.2504809537957187
real,ica,triviality_ami_layer,wikitext,wikitext,0.01767916735040943
real,ica,triviality_ami_dimension,wikitext,wikitext,0.40045161068006924
real,ica,triviality_ami_hubness,wikitext,wikitext,0.018505165409075364
real,ica,triviality_ami_noise_scale,wikitext,wikitext,0.037516661968556665
real,ica,triviality_n_effective_networks,wikitext,wikitext,50.0
real,ica,triviality_median_max_membership,wikitext,wikitext,0.275
real,ica,triviality_frac_confident,wikitext,wikitext,0.14212740384615385
real,ica100,reliability_within,wikitext,wikitext,0.24349140164364672
real,ica100,reliability_within_maps,wikitext,wikitext,0.5465257226402035
real,ica100,fidelity_within,wikitext,wikitext,0.05633168259743038
real,ica100,fidelity_within_r,wikitext,wikitext,0.23734359814312825
real,ica100,fidelity_within_insample,wikitext,wikitext,0.056313253843531696
real,ica100,reliability_ceiling,wikitext,wikitext,0.23128799842785067
real,ica100,triviality_ami_layer,wikitext,wikitext,0.01205052329297297
real,ica100,triviality_ami_dimension,wikitext,wikitext,0.4889204429328409
real,ica100,triviality_ami_hubness,wikitext,wikitext,0.027740693376839456
real,ica100,triviality_ami_noise_scale,wikitext,wikitext,0.040592726340714654
real,ica100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,ica100,triviality_median_max_membership,wikitext,wikitext,0.225
real,ica100,triviality_frac_confident,wikitext,wikitext,0.15374599358974358
real,sparse_fisher_lloyd,reliability_within,wikitext,wikitext,0.7658901369431103
real,sparse_fisher_lloyd,fidelity_within,wikitext,wikitext,0.17428923799072638
real,sparse_fisher_lloyd,fidelity_within_r,wikitext,wikitext,0.4174939564787309
real,sparse_fisher_lloyd,fidelity_within_insample,wikitext,wikitext,0.17199373046081745
real,sparse_fisher_lloyd,reliability_ceiling,wikitext,wikitext,0.7881334384205936
real,sparse_fisher_lloyd,triviality_ami_layer,wikitext,wikitext,0.10128915107771055
real,sparse_fisher_lloyd,triviality_ami_dimension,wikitext,wikitext,0.25879842053304325
real,sparse_fisher_lloyd,triviality_ami_hubness,wikitext,wikitext,0.19166057373553907
real,sparse_fisher_lloyd,triviality_ami_noise_scale,wikitext,wikitext,0.07855978128640678
