tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9747874897582266
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.9873717009599972
real,vmf_lloyd,reliability_within,wikitext,wikitext,0.6838245273715556
real,vmf_lloyd,fidelity_within,wikitext,wikitext,0.17806062461628913
real,vmf_lloyd,fidelity_within_r,wikitext,wikitext,0.42197297107228887
real,vmf_lloyd,fidelity_within_insample,wikitext,wikitext,0.17811362222445648
real,vmf_lloyd,reliability_ceiling,wikitext,wikitext,0.7356634480810509
real,vmf_lloyd,triviality_ami_layer,wikitext,wikitext,0.1439011085880506
real,vmf_lloyd,triviality_ami_dimension,wikitext,wikitext,-0.0022413875338790526
real,vmf_lloyd,triviality_ami_hubness,wikitext,wikitext,0.07342422820651595
real,vmf_lloyd,triviality_n_effective_networks,wikitext,wikitext,50.0
real,vmf_lloyd,triviality_median_max_membership,wikitext,wikitext,0.7
real,vmf_lloyd,triviality_frac_confident,wikitext,wikitext,0.7409855769230769
real,vmf_profile,reliability_within,wikitext,wikitext,0.5292483104515244
real,vmf_profile,fidelity_within,wikitext,wikitext,0.16431111601288562
real,vmf_profile,fidelity_within_r,wikitext,wikitext,0.4053534905141912
real,vmf_profile,fidelity_within_insample,wikitext,wikitext,0.16447923463195335
real,vmf_profile,reliability_ceiling,wikitext,wikitext,0.496638668856684
real,vmf_profile,triviality_ami_layer,wikitext,wikitext,0.13320943528244927
real,vmf_profile,triviality_ami_dimension,wikitext,wikitext,-0.001860553654981886
real,vmf_profile,triviality_ami_hubness,wikitext,wikitext,0.06584425186038621
real,vmf_profile,triviality_n_effective_networks,wikitext,wikitext,50.0
real,vmf_profile,triviality_median_max_membership,wikitext,wikitext,0.55
real,vmf_profile,triviality_frac_confident,wikitext,wikitext,0.5369591346153846
real,(ceiling),fidelity_within,bookcorpus,bookcorpus,0.9888274536436901
real,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.9944086938872909
real,vmf_lloyd,reliability_within,bookcorpus,bookcorpus,0.6417289719409847
real,vmf_lloyd,fidelity_within,bookcorpus,bookcorpus,0.19385163388122528
real,vmf_lloyd,fidelity_within_r,bookcorpus,bookcorpus,0.4402873903930411
real,vmf_lloyd,fidelity_within_insample,bookcorpus,bookcorpus,0.19394509871964438
real,vmf_lloyd,reliability_ceiling,bookcorpus,bookcorpus,0.6836394736596433
real,vmf_lloyd,triviality_ami_layer,bookcorpus,bookcorpus,0.1184832546488486
real,vmf_lloyd,triviality_ami_dimension,bookcorpus,bookcorpus,-0.0012442607925210844
real,vmf_lloyd,triviality_ami_hubness,bookcorpus,bookcorpus,0.06971308759247286
real,vmf_lloyd,triviality_n_effective_networks,bookcorpus,bookcorpus,50.0
real,vmf_lloyd,triviality_median_max_membership,bookcorpus,bookcorpus,0.625
real,vmf_lloyd,triviality_frac_confident,bookcorpus,bookcorpus,0.6758814102564102
real,vmf_profile,reliability_within,bookcorpus,bookcorpus,0.5174755577269847
real,vmf_profile,fidelity_within,bookcorpus,bookcorpus,0.17852918876878632
real,vmf_profile,fidelity_within_r,bookcorpus,bookcorpus,0.4225290108961695
real,vmf_profile,fidelity_within_insample,bookcorpus,bookcorpus,0.17841298453095678
real,vmf_profile,reliability_ceiling,bookcorpus,bookcorpus,0.46333256306640247
real,vmf_profile,triviality_ami_layer,bookcorpus,bookcorpus,0.11301428193706514
real,vmf_profile,triviality_ami_dimension,bookcorpus,bookcorpus,-0.0006630034482426497
real,vmf_profile,triviality_ami_hubness,bookcorpus,bookcorpus,0.06629759749285184
real,vmf_profile,triviality_n_effective_networks,bookcorpus,bookcorpus,50.0
real,vmf_profile,triviality_median_max_membership,bookcorpus,bookcorpus,0.55
real,vmf_profile,triviality_frac_confident,bookcorpus,bookcorpus,0.5023036858974359
real,(ceiling),fidelity_within,agnews,agnews,0.9784710625110252
real,(ceiling),fidelity_within_r,agnews,agnews,0.9892610602960447
real,vmf_lloyd,reliability_within,agnews,agnews,0.6793492196261962
real,vmf_lloyd,fidelity_within,agnews,agnews,0.17267851874227047
real,vmf_lloyd,fidelity_within_r,agnews,agnews,0.41555757119367026
real,vmf_lloyd,fidelity_within_insample,agnews,agnews,0.173830529504449
real,vmf_lloyd,reliability_ceiling,agnews,agnews,0.6482848108962402
real,vmf_lloyd,triviality_ami_layer,agnews,agnews,0.13971634249246542
real,vmf_lloyd,triviality_ami_dimension,agnews,agnews,-0.0003575880908503657
real,vmf_lloyd,triviality_ami_hubness,agnews,agnews,0.07730119946512326
real,vmf_lloyd,triviality_n_effective_networks,agnews,agnews,50.0
real,vmf_lloyd,triviality_median_max_membership,agnews,agnews,0.675
real,vmf_lloyd,triviality_frac_confident,agnews,agnews,0.7064302884615384
real,vmf_profile,reliability_within,agnews,agnews,0.6151877930136284
real,vmf_profile,fidelity_within,agnews,agnews,0.1648584839545416
real,vmf_profile,fidelity_within_r,agnews,agnews,0.4060415679899712
real,vmf_profile,fidelity_within_insample,agnews,agnews,0.16629176909921672
