tree,variant,metric,fit,eval,value
real,(ceiling),fidelity_within,wikitext,wikitext,0.9801254890166184
real,(ceiling),fidelity_within_r,wikitext,wikitext,0.990048060108855
real,fisher_pca_lloyd,reliability_within,wikitext,wikitext,0.8162497686579872
real,fisher_pca_lloyd,fidelity_within,wikitext,wikitext,0.18187242858818764
real,fisher_pca_lloyd,fidelity_within_r,wikitext,wikitext,0.42648104535388626
real,fisher_pca_lloyd,fidelity_within_insample,wikitext,wikitext,0.17933991402548244
real,fisher_pca_lloyd,reliability_ceiling,wikitext,wikitext,0.8006755025792042
real,fisher_pca_lloyd,triviality_ami_layer,wikitext,wikitext,0.0970381794522711
real,fisher_pca_lloyd,triviality_ami_dimension,wikitext,wikitext,0.25823052156820986
real,fisher_pca_lloyd,triviality_ami_hubness,wikitext,wikitext,0.25984909113936633
real,fisher_pca_lloyd,triviality_ami_noise_scale,wikitext,wikitext,0.07672476492228703
real,fisher_pca_lloyd,triviality_n_effective_networks,wikitext,wikitext,50.0
real,fisher_pca_lloyd,triviality_median_max_membership,wikitext,wikitext,0.6
real,fisher_pca_lloyd,triviality_frac_confident,wikitext,wikitext,0.5989583333333334
real,nopca_lloyd,reliability_within,wikitext,wikitext,0.8131572565590938
real,nopca_lloyd,fidelity_within,wikitext,wikitext,0.17429014781126173
real,nopca_lloyd,fidelity_within_r,wikitext,wikitext,0.4174975542922039
real,nopca_lloyd,fidelity_within_insample,wikitext,wikitext,0.17175429095204864
real,nopca_lloyd,reliability_ceiling,wikitext,wikitext,0.8282416267566347
real,nopca_lloyd,triviality_ami_layer,wikitext,wikitext,0.10569903845457862
real,nopca_lloyd,triviality_ami_dimension,wikitext,wikitext,0.22269561111682956
real,nopca_lloyd,triviality_ami_hubness,wikitext,wikitext,0.26723758879195514
real,nopca_lloyd,triviality_ami_noise_scale,wikitext,wikitext,0.07917386671076786
real,nopca_lloyd,triviality_n_effective_networks,wikitext,wikitext,46.0
real,nopca_lloyd,triviality_median_max_membership,wikitext,wikitext,0.675
real,nopca_lloyd,triviality_frac_confident,wikitext,wikitext,0.7085336538461539
real,vmf_lloyd,reliability_within,wikitext,wikitext,0.5994910984647612
real,vmf_lloyd,fidelity_within,wikitext,wikitext,0.12745432325166284
real,vmf_lloyd,fidelity_within_r,wikitext,wikitext,0.35702268877206905
real,vmf_lloyd,fidelity_within_insample,wikitext,wikitext,0.12553883036201663
real,vmf_lloyd,reliability_ceiling,wikitext,wikitext,0.4979597903505558
real,vmf_lloyd,triviality_ami_layer,wikitext,wikitext,0.06918904307593668
real,vmf_lloyd,triviality_ami_dimension,wikitext,wikitext,0.35684279020317106
real,vmf_lloyd,triviality_ami_hubness,wikitext,wikitext,0.10086429871738349
real,vmf_lloyd,triviality_ami_noise_scale,wikitext,wikitext,0.06034304743483749
real,vmf_lloyd,triviality_n_effective_networks,wikitext,wikitext,49.0
real,vmf_lloyd,triviality_median_max_membership,wikitext,wikitext,0.425
real,vmf_lloyd,triviality_frac_confident,wikitext,wikitext,0.33263221153846156
real,vmf_lloyd100,reliability_within,wikitext,wikitext,0.4204327200414383
real,vmf_lloyd100,fidelity_within,wikitext,wikitext,0.14200743050544673
real,vmf_lloyd100,fidelity_within_r,wikitext,wikitext,0.37685008118201485
real,vmf_lloyd100,fidelity_within_insample,wikitext,wikitext,0.14028805224474405
real,vmf_lloyd100,reliability_ceiling,wikitext,wikitext,0.3956612626663548
real,vmf_lloyd100,triviality_ami_layer,wikitext,wikitext,0.03304395173402826
real,vmf_lloyd100,triviality_ami_dimension,wikitext,wikitext,0.4682653526788607
real,vmf_lloyd100,triviality_ami_hubness,wikitext,wikitext,0.07266427033981633
real,vmf_lloyd100,triviality_ami_noise_scale,wikitext,wikitext,0.05187404319824011
real,vmf_lloyd100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_lloyd100,triviality_median_max_membership,wikitext,wikitext,0.35
real,vmf_lloyd100,triviality_frac_confident,wikitext,wikitext,0.2492988782051282
real,vmf_ward,reliability_within,wikitext,wikitext,0.24359603920092995
real,vmf_ward,fidelity_within,wikitext,wikitext,0.12027528695386414
real,vmf_ward,fidelity_within_r,wikitext,wikitext,0.3468144774977216
real,vmf_ward,fidelity_within_insample,wikitext,wikitext,0.11913799721518437
real,vmf_ward,reliability_ceiling,wikitext,wikitext,1.0
real,vmf_ward,triviality_ami_layer,wikitext,wikitext,0.04557109660752877
real,vmf_ward,triviality_ami_dimension,wikitext,wikitext,0.5351011456611627
real,vmf_ward,triviality_ami_hubness,wikitext,wikitext,0.07035097265121737
real,vmf_ward,triviality_ami_noise_scale,wikitext,wikitext,0.05850508399418878
real,vmf_ward,triviality_n_effective_networks,wikitext,wikitext,50.0
real,vmf_ward,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_ward,triviality_frac_confident,wikitext,wikitext,1.0
real,vmf_ward100,reliability_within,wikitext,wikitext,0.3958476579994687
real,vmf_ward100,fidelity_within,wikitext,wikitext,0.15298122246173462
real,vmf_ward100,fidelity_within_r,wikitext,wikitext,0.39113318277404435
real,vmf_ward100,fidelity_within_insample,wikitext,wikitext,0.15194937275601894
real,vmf_ward100,reliability_ceiling,wikitext,wikitext,1.0
real,vmf_ward100,triviality_ami_layer,wikitext,wikitext,0.04356517970251504
real,vmf_ward100,triviality_ami_dimension,wikitext,wikitext,0.6162452624062377
real,vmf_ward100,triviality_ami_hubness,wikitext,wikitext,0.07523209714835773
real,vmf_ward100,triviality_ami_noise_scale,wikitext,wikitext,0.06304169214209013
real,vmf_ward100,triviality_n_effective_networks,wikitext,wikitext,100.0
real,vmf_ward100,triviality_median_max_membership,wikitext,wikitext,1.0
real,vmf_ward100,triviality_frac_confident,wikitext,wikitext,1.0
real,(ceiling),fidelity_within,bookcorpus,bookcorpus,0.9932568094407094
real,(ceiling),fidelity_within_r,bookcorpus,bookcorpus,0.9966256066606636
real,fisher_pca_lloyd,reliability_within,bookcorpus,bookcorpus,0.5691267574144119
real,fisher_pca_lloyd,fidelity_within,bookcorpus,bookcorpus,0.2495663999159371
real,fisher_pca_lloyd,fidelity_within_r,bookcorpus,bookcorpus,0.4995727061991733
real,fisher_pca_lloyd,fidelity_within_insample,bookcorpus,bookcorpus,0.2485949792274852
real,fisher_pca_lloyd,reliability_ceiling,bookcorpus,bookcorpus,0.5411961081868889
real,fisher_pca_lloyd,triviality_ami_layer,bookcorpus,bookcorpus,0.034340697403574726
