tree,variant,domain,direction,metric,value
real,vmf_lloyd100,wikitext,halfA->halfB,yardstick_ari,0.7346635569834801
real,vmf_lloyd100,wikitext,halfA->halfB,reliability_ari,0.5967987278058549
real,vmf_lloyd100,wikitext,halfA->halfB,inertia_ratio,0.9928309507840026
real,vmf_lloyd100,wikitext,halfA->halfB,n_iter,12.0
real,vmf_lloyd100,wikitext,halfA->halfB,n_clusters,100.0
real,vmf_lloyd100,wikitext,halfB->halfA,yardstick_ari,0.7197344698243975
real,vmf_lloyd100,wikitext,halfB->halfA,reliability_ari,0.5967987278058549
real,vmf_lloyd100,wikitext,halfB->halfA,inertia_ratio,0.9938912774685515
real,vmf_lloyd100,wikitext,halfB->halfA,n_iter,15.0
real,vmf_lloyd100,wikitext,halfB->halfA,n_clusters,100.0
pnull,vmf_lloyd100,wikitext,halfA->halfB,yardstick_ari,0.022608774739638543
pnull,vmf_lloyd100,wikitext,halfA->halfB,reliability_ari,0.017384883375280432
pnull,vmf_lloyd100,wikitext,halfA->halfB,inertia_ratio,1.012026791290377
pnull,vmf_lloyd100,wikitext,halfA->halfB,n_iter,51.0
pnull,vmf_lloyd100,wikitext,halfA->halfB,n_clusters,100.0
pnull,vmf_lloyd100,wikitext,halfB->halfA,yardstick_ari,0.018300746024456995
pnull,vmf_lloyd100,wikitext,halfB->halfA,reliability_ari,0.013215865184346517
pnull,vmf_lloyd100,wikitext,halfB->halfA,inertia_ratio,1.0116036367890733
pnull,vmf_lloyd100,wikitext,halfB->halfA,n_iter,38.0
pnull,vmf_lloyd100,wikitext,halfB->halfA,n_clusters,100.0
real,vmf_pca100_lloyd100,wikitext,halfA->halfB,yardstick_ari,0.7713394503474097
real,vmf_pca100_lloyd100,wikitext,halfA->halfB,reliability_ari,0.6021268615104063
real,vmf_pca100_lloyd100,wikitext,halfA->halfB,inertia_ratio,0.9943123742607439
real,vmf_pca100_lloyd100,wikitext,halfA->halfB,n_iter,14.0
real,vmf_pca100_lloyd100,wikitext,halfA->halfB,n_clusters,100.0
real,vmf_pca100_lloyd100,wikitext,halfB->halfA,yardstick_ari,0.7577002055904553
real,vmf_pca100_lloyd100,wikitext,halfB->halfA,reliability_ari,0.6021268615104063
real,vmf_pca100_lloyd100,wikitext,halfB->halfA,inertia_ratio,0.9941587507596118
real,vmf_pca100_lloyd100,wikitext,halfB->halfA,n_iter,21.0
real,vmf_pca100_lloyd100,wikitext,halfB->halfA,n_clusters,100.0
pnull,vmf_pca100_lloyd100,wikitext,halfA->halfB,yardstick_ari,0.011899517975161606
pnull,vmf_pca100_lloyd100,wikitext,halfA->halfB,reliability_ari,0.01190727057936168
pnull,vmf_pca100_lloyd100,wikitext,halfA->halfB,inertia_ratio,1.0059945399615768
pnull,vmf_pca100_lloyd100,wikitext,halfA->halfB,n_iter,40.0
pnull,vmf_pca100_lloyd100,wikitext,halfA->halfB,n_clusters,100.0
pnull,vmf_pca100_lloyd100,wikitext,halfB->halfA,yardstick_ari,0.013362367180891366
pnull,vmf_pca100_lloyd100,wikitext,halfB->halfA,reliability_ari,0.011378560041052872
pnull,vmf_pca100_lloyd100,wikitext,halfB->halfA,inertia_ratio,1.006853096188075
pnull,vmf_pca100_lloyd100,wikitext,halfB->halfA,n_iter,44.0
pnull,vmf_pca100_lloyd100,wikitext,halfB->halfA,n_clusters,100.0
real,vmf_ward100,wikitext,halfA->halfB,yardstick_ari,0.34634555699160674
real,vmf_ward100,wikitext,halfA->halfB,reliability_ari,0.23776035015071678
real,vmf_ward100,wikitext,halfA->halfB,inertia_ratio,0.9569198497005086
real,vmf_ward100,wikitext,halfA->halfB,n_iter,15.0
real,vmf_ward100,wikitext,halfA->halfB,n_clusters,100.0
real,vmf_ward100,wikitext,halfB->halfA,yardstick_ari,0.32920048504479
real,vmf_ward100,wikitext,halfB->halfA,reliability_ari,0.23776035015071678
real,vmf_ward100,wikitext,halfB->halfA,inertia_ratio,0.9564754218702127
real,vmf_ward100,wikitext,halfB->halfA,n_iter,16.0
real,vmf_ward100,wikitext,halfB->halfA,n_clusters,100.0
pnull,vmf_ward100,wikitext,halfA->halfB,yardstick_ari,0.009770637794745322
pnull,vmf_ward100,wikitext,halfA->halfB,reliability_ari,0.00985791740814425
pnull,vmf_ward100,wikitext,halfA->halfB,inertia_ratio,0.963311930210412
pnull,vmf_ward100,wikitext,halfA->halfB,n_iter,59.0
pnull,vmf_ward100,wikitext,halfA->halfB,n_clusters,100.0
pnull,vmf_ward100,wikitext,halfB->halfA,yardstick_ari,0.009981993246244714
